ctmString,ctm,open,high,low,close,vol
"May 15, 2023, 8:45:00 AM",1684133100000,169637.0,80.0,-9.0,52.0,3841.0
"May 15, 2023, 9:00:00 AM",1684134000000,169688.0,0.0,-165.0,-145.0,4316.0
"May 15, 2023, 9:15:00 AM",1684134900000,169543.0,10.0,-106.0,-14.0,4037.0
"May 15, 2023, 9:30:00 AM",1684135800000,169533.0,256.0,-4.0,161.0,4171.0
"May 15, 2023, 9:45:00 AM",1684136700000,169692.0,63.0,-59.0,1.0,4135.0
"May 15, 2023, 10:00:00 AM",1684137600000,169694.0,115.0,-29.0,88.0,3947.0
"May 15, 2023, 10:15:00 AM",1684138500000,169779.0,62.0,-84.0,47.0,3969.0
"May 15, 2023, 10:30:00 AM",1684139400000,169825.0,170.0,-19.0,92.0,4350.0
"May 15, 2023, 10:45:00 AM",1684140300000,169915.0,65.0,-23.0,59.0,3602.0
"May 15, 2023, 11:00:00 AM",1684141200000,169973.0,32.0,-135.0,-116.0,3237.0
"May 15, 2023, 11:15:00 AM",1684142100000,169856.0,195.0,-13.0,169.0,4080.0
"May 15, 2023, 11:30:00 AM",1684143000000,170026.0,195.0,0.0,180.0,4089.0
"May 15, 2023, 11:45:00 AM",1684143900000,170205.0,1.0,-110.0,-61.0,4329.0
"May 15, 2023, 12:00:00 PM",1684144800000,170145.0,101.0,-24.0,63.0,3942.0
"May 15, 2023, 12:15:00 PM",1684145700000,170207.0,61.0,-40.0,-26.0,4196.0
"May 15, 2023, 12:30:00 PM",1684146600000,170182.0,99.0,-6.0,57.0,3570.0
"May 15, 2023, 12:45:00 PM",1684147500000,170239.0,60.0,-26.0,-4.0,3780.0
"May 15, 2023, 1:00:00 PM",1684148400000,170236.0,74.0,-16.0,22.0,3982.0
"May 15, 2023, 1:15:00 PM",1684149300000,170258.0,74.0,-62.0,-53.0,3522.0
"May 15, 2023, 1:30:00 PM",1684150200000,170205.0,53.0,-51.0,-30.0,4405.0
"May 15, 2023, 1:45:00 PM",1684151100000,170174.0,151.0,-11.0,139.0,4102.0
"May 15, 2023, 2:00:00 PM",1684152000000,170304.0,114.0,-12.0,47.0,4341.0
"May 15, 2023, 2:15:00 PM",1684152900000,170351.0,38.0,-73.0,-63.0,4265.0
"May 15, 2023, 2:30:00 PM",1684153800000,170264.0,0.0,-460.0,-450.0,4711.0
"May 15, 2023, 2:45:00 PM",1684154700000,169814.0,243.0,0.0,148.0,4568.0
"May 15, 2023, 3:00:00 PM",1684155600000,169960.0,178.0,-16.0,178.0,4336.0
"May 15, 2023, 3:15:00 PM",1684156500000,170135.0,186.0,-1.0,157.0,4022.0
"May 15, 2023, 3:30:00 PM",1684157400000,170293.0,33.0,-110.0,16.0,4030.0
"May 15, 2023, 3:45:00 PM",1684158300000,170312.0,29.0,-97.0,-24.0,4154.0
"May 15, 2023, 4:00:00 PM",1684159200000,170285.0,130.0,-54.0,-43.0,4269.0
"May 15, 2023, 4:15:00 PM",1684160100000,170240.0,115.0,-4.0,67.0,3856.0
"May 15, 2023, 4:30:00 PM",1684161000000,170305.0,101.0,-12.0,-12.0,3579.0
